대표식품명,품종명,유통기한(일)
어묵,어두부전,29
어묵,오징어어묵,29
어묵,잡채어묵,29
어육가공품,어육소시지,
어육가공품,감자말이새우튀김,
어육가공품,새우튀김,
어육가공품,오징어튀김,
어육가공품,왕새우튀김,
어육가공품,새우가스,
어육가공품,생선가스,
어육가공품,오징어가스,
어육가공품,클로렐라생선가스,
어육가공품,새우너겟,
어육가공품,새우완자,
어육가공품,해물완자,
어육가공품,새우동그랑땡,
어육가공품,해물동그랑땡,
어육가공품,해물전,
어육가공품,새우탕수육,
어육가공품,새우패티,
연어,훈제연어,
조미건어포,명엽채,
조미건어포,오징어실채,
조미건어포,진미채,
참치,고추참치통조림,
참치,참치통조림,
젓갈/액젓,멸치액젓,
젓갈/액젓,새우젓,
감자튀김,감자튀김,
감자튀김,매쉬드포테이토,
감자튀김,해시브라운,
국,콩국,
국,닭개장,
국/탕류,삼계탕,
만두,갈비만두,3
만두,감자만두,3
만두,고기만두,3
만두,김치만두,3
만두,납작만두,3
만두,만두,3
만두,물만두,3
만두,버섯만두,3
만두,부추만두,3
만두,새알만두,3
만두,새우만두,3
만두,오징어만두,3
만두,왕만두,3
만두,잡채만두,3
만두,채소만두,3
만두,해물만두,3
만두,군만두,3
만두,김치군만두,3
만두,새우군만두,3
만두,피자군만두,3
만두,해물군만두,3
만두,춘권,3
만두,딤섬,3
만두,새우딤섬,3
만두피,만두피,
반찬,돼지고기장조림,
반찬,쇠고기장조림,
반찬,우엉조림,
버거,치즈버거,
버거,햄버거,
샌드위치,에그샌드위치,
샌드위치,치킨샌드위치,
샌드위치,쇠고기샌드위치,
샌드위치,참치샌드위치,
샌드위치,햄치즈샌드위치,
샐러드,감자샐러드,3
샐러드,고구마샐러드,3
샐러드,단호박샐러드,3
샐러드,코울슬로우,3
순대,순대,
순대,찰순대,
스프,감자수프,
스프,브로콜리수프,
스프,옥수수수프,
스프,크림수프/액상,
주먹밥/초밥,주먹밥,
주먹밥/초밥,참치김치삼각김밥,
죽,전복죽,
튀김,고추잡채김말이,
튀김,김말이튀김,
튀김,치즈스틱,
함박스테이크,고구마햄버그스테이크,
함박스테이크,두부스테이크,
함박스테이크,햄버그스테이크,
함박스테이크,연어스테이크,
함박스테이크,오리스테이크,
함박스테이크,찹스테이크,
함박스테이크,치즈햄버그스테이크,
미트볼,미트볼,
미트볼,두부미트볼,
미트볼,콩고기미트볼,
